"","year","age","maritl","race","education","region","jobclass","health","health_ins","logwage","wage"
"1",2006,18,"Never Married","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.31806333496276",75.0431540173515
"2",2004,24,"Never Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.25527250510331",70.4760196469445
"3",2003,45,"Married","White","Some College","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.8750612633917",130.982177377461
"4",2003,43,"Married","Asian","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.04139268515823",154.68529299563
"5",2005,50,"Divorced","White","HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.31806333496276",75.0431540173515
"6",2008,42,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.84509804001426",127.115743812184
"7",2009,44,"Married","Other","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.13302127864665",169.528538036679
"8",2008,30,"Never Married","Asian","Some College","2. Middle Atlantic","Information","<=Good","1. Yes","4.7160033436348",111.720849360989
"9",2006,41,"Never Married","Black","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.77815125038364",118.884359339886
"10",2004,52,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.85733249643127",128.680488220624
"11",2007,45,"Divorced","White","Some College","2. Middle Atlantic","Information","<=Good","1. Yes","4.76342799356294",117.146816914805
"12",2007,34,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.39794000867204",81.2832532842527
"13",2005,35,"Never Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.49415459401844",89.4924795180001
"14",2003,39,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.90308998699194",134.705375118879
"15",2009,54,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.90308998699194",134.705375118879
"16",2009,51,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.50514997831991",90.4819133566401
"17",2003,37,"Never Married","Asian","College Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.41497334797082",82.6796372966372
"18",2006,50,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","2. No","5.36055176170483",212.842352315711
"19",2007,56,"Married","White","College Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.86102634169657",129.156693004704
"20",2003,37,"Never Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.5910646070265",98.5993438603892
"21",2003,38,"Married","Asian","College Grad","2. Middle Atlantic","Information",">=Very Good","2. No","5.30102999566398",NA
"22",2005,40,"Divorced","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","3.92012332629072",50.406660861266
"23",2009,75,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.44715803134222",85.3839403789827
"24",2007,40,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","2. No","5.07918124604763",160.642475408263
"25",2006,38,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.54406804435028",94.0727147457005
"26",2005,49,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.62618633492728",277.601417511009
"27",2006,43,"Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.43136376415899",84.0459576539924
"28",2004,34,"Married","Other","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.17609125905568",65.1108537153447
"29",2008,57,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.75587485567249",116.265324062503
"30",2003,18,"Never Married","Black","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.25527250510331",70.4760196469445
"31",2004,55,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.27646180417324",195.676307990453
"32",2005,51,"Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.61909333062674",101.402052302992
"33",2008,33,"Never Married","White","5. Advanced Degree","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.39794000867204",81.2832532842527
"34",2005,34,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.7160033436348",111.720849360989
"35",2006,36,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.49847596780109",NA
"36",2003,56,"Never Married","White","5. Advanced Degree","2. Middle Atlantic","Information","<=Good","1. Yes","4.47712125471966",87.9810327856054
"37",2006,70,"Never Married","White","College Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.47712125471966",87.9810327856054
"38",2004,25,"Never Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.64345267648619",103.90247060316
"39",2006,32,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.66275783168157",105.927810775063
"40",2003,27,"Married","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.19312459835446",66.2294082943902
"41",2004,28,"Married","Asian","College Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","3.54406804435028",34.6074177301288
"42",2007,27,"Never Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.69897000433602",109.833985642199
"43",2004,43,"Never Married","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","3.81291335664286",45.282169994022
